gurmukhi,shahmukhi,part_of_speech
ਉਚੇਰਾ,اُچیرا,"adjective, masculine"
ਝੌਂਪੜੀ,جھونپڑی,"noun, masculine"
ਸਿਆਲ਼ੀ,سیالی,adjective
ਧਰਨ,دھرن,"noun, feminine"
ਔਝੜ ਪਾਉਣਾ,اَوجھڑ پاؤنا,phrase
ਪਹਿਲੀ ਤਕਰੀਰ,پہلی تقریر,"noun, masculine/noun, feminine"
ਰੂਪਹੀਨ,رُوپ ہِین,adjective
ਚਲੂਣੇ,چلونے,"noun masculine, plural"
ਹੋੱਲੀ,,
ਪਡ਼ਨਾਨੀ,,
ਧਰੇਲ,دھریل,"noun, feminine"
ਹਾਬਡ਼ਣਾ,,
ਤੇਓਰ,تیؤر,"noun, masculine"
ਰਸਾਇਣ ਯੋਗਕ,رسائن یوگک,"noun, masculine"
ਦਸਮਾਂ,,
ਚੁਟਾ,,
ਇਕਹਿਰਾ,اِکہرا,"adjective, masculine"
ਨਰਵਾਰ,,
ਡਹਕ,,
ਖਰੀਦ ਕੀਮਤ,خرید قیمت,"noun, feminine/ noun, masculine"
ਬਰਾਤੀ,براتی,"noun, masculine"
ਮੁਢੀਰਵਾਧਾ,,
ਫਰੜ,پھرڑ,"noun, masculine"
ਥਾਨਣਾ,,
ਉਬਾਲ਼ਾ ਦੇਣਾ,اُبالا دینا,conjunct verb
ਰੇੜ੍ਹਾ,ریڑھا,"noun, masculine/noun, feminine"
ਧੰਦਾਲ,,
ਕਿਦਾਰਾ,,
ਬੇਢੰਗਾ,بے ڈھنگا,"adjective, masculine/ adjective/ adjective, masculine"
ਝਾਲ ਫੇਰਨੀ,جھال پھیرنی,conjunct verb
ਜੱਥਾ,,
ਸੱਠਣੀ,,
ਸ਼ਰਨ ਲੈਣੀ,شرن لینی,conjunct verb
ਕੁਤਡ਼ੀ,,
ਬਰੂਹਾਂ,بروہاں,"noun feminine, plural"
ਟਲਾਉ,,
ਹੀਣਸਾ,,
ਤਰਾਜੂ,ترازو,"noun, masculine"
ਨੀਂਗਰ,نینگر,"noun, masculine"
ਰੋੜੀ,روڑی,"noun, feminine"
ਰੱਤ,رتّ,"noun, feminine"
ਉਥੱਲਣਾ,اُتھلّنا,"verb, transitive"
ਸੁਕਿਰਤ,سُکِرت,"noun, feminine/noun, masculine"
ਮੱਧ,مدّھ,"noun, masculine"
ਹਾਵੀ ਹੋਣਾ,حاوی ہونا,phrase
ਆਗਮਨਾਤਮਿਕ,آگمناتمِک,adjective
ਘੁਰਾੜਾ,گھُراڑا,"noun, masculine"
ਪਰਦੇਸ਼ੀ,پردیشی,adjective
ਪੁਜਦਾ,پُجدا,"adjective, masculine"
ਘੁਣ,گھُن,"noun, masculine"
ਮਸਵਾਣਾ,,
ਹ੍ਰਸ੍ਵ ਸ੍ਵਰ,ہرسو سوَر,"noun, masculine"
ਲਾਡਲਾ,لاڈلا,"adjective, masculine/adjective, masculine/adjective, feminine/adjective, feminine"
ਪੁੜਪੁੜੀ,پُڑپُڑی,"noun, feminine"
ਪੱਖਪਾਤੀ,پکھّپاتی,adjective
ਪਥਰਕਲਾ,,
ਘੀਂਗਾ,,
ਝੁਲੀ,,
ਘੇਰ ਪੈਣੇ,گھیر پَینے,phrase
ਸੰਭਾਲ,سنبھال,"noun, masculine"
ਭਬਕਾ,بھبکا,"noun, masculine"
ਹੇਰਵਾ,ہیروا,"noun, masculine"
ਸੇਪ,سیپ,"noun, feminine"
ਨੇਮਬਧ,نیمبدھ,adjective
ਪਤੀਸਾ,پتیسا,"noun, masculine"
ਭੁੰਬਰ,بھُنبر,"noun, feminine"
ਡਹਾਈ,,
ਪਵਿੱਤਰਤਾ,پوِتّرتا,"noun, feminine"
ਦਡ਼ਊ,,
ਭੁੱਖ ਹੜਤਾਲ,بُھکّھ ہڑتال,"noun, feminine"
ਸ਼ੀਸ਼ ਮਹੱਲ,شیش محلّ,"noun, masculine"
ਟੈਂਪੂ,ٹیمپُو,"noun, masculine"
ਭੱਯਾ,بھّیا,"noun, masculine"
ਵਿਦਰੋਹ,وِدروہ,"noun, masculine"
ਉਦਰੇਵਾਂ,اُدریواں,"noun, masculine"
ਕਹਿਗਲ,کہِگل,"noun, masculine"
ਕਿਨ,کِن,"pronoun, adjective, dialectical usage"
ਉਧੇੜਨਾ,اُدھیڑنا,"verb, transitive"
ਟਿਚ ਟਿਚ ਕਰਨਾ,,
ਔਗਣ,,
ਏਝਾਂ,,
ਬੰਸ,بنس,"noun, masculine"
ਸਿਰ ਦਰਦੀ,سِر دردی,"noun, feminine"
ਪਰਪਾਟੀ,پرپاٹی,"noun, feminine"
ਡਹਿਆ,ڈہیا,"noun, masculine"
ਡੇਊਢ,,
ਉਸਤਾਦੀ,اُستادی,"noun, feminine"
ਝਾਕਾ ਖੁਲ੍ਹਣਾ,جھاکا کھُلھنا,conjunct verb
ਚੀਂਘ,چینگھ,"noun masculine, dialectical usage"
ਉਸੱਠਾ,,
ਖਿੰਜ,,
ਤਾਰੀਖ ਵਾਰ,تاریخ وار,adverb
ਹਾਰ ਦੇਣੀ,ہار دینی,conjunct verb
ਬਿਆਸੀ,بیاسی,adjective
ਕੋਤਕ,,
ਵੱਖਰ,وکھّر,"noun, masculine"
ਠਗੀ,,
ਨਾਇਣ,نائن,"noun, feminine"
ਮਾਓਵਾਦੀ,ماؤوادی,adjective
ਲਿਖਣਹਾਰ,لِکھنہار,adjective
ਵਧ,ودھ,verb
ਵੈਰਾਗ,,
ਭਲਾ ਚਾਹੁਣਾ,بھلا چاہُنا,conjunct verb
ਬਸਾਤੀ ਦੀ ਦੁਕਾਨ,بساتی دی دوکان,phrase
ਝਰੀਟ,جھریٹ,"noun, feminine"
ਕਟਾਰਾ,کٹارا,"noun, masculine"
ਅਰੜਾਉਣਾ,ارڑاؤنا,"verb, intransitive"
ਪੁਕਾਰਨਾ,پُکارنا,"verb, transitive"
ਧੂਣੀ ਦੇਣੀ,دھونی دینی,conjunct verb
ਤ੍ਰਿਆ,ترِآ,"noun, feminine"
ਖੇਤੀ ਵਿਗਿਆਨ,کھیتی وِگیان,"noun, masculine"
ਹਲਫ਼ ਚੁੱਕਣੀ,حلف چُکّنی,conjunct verb
ਰੌਂਦਣਾ,روندنا,"verb, transitive"
ਪੱਚਰ ਲਾਉਣੀ,پچّر لاؤنی,conjunct verb
ਵਾਹੂ,,
ਸੋਰੂਆ,,
ਰੰਗ ਮੰਚ,رنگ منچ,"noun, masculine"
ਆਧੁਨਿਕਤਾਵਾਦੀ,آدھونِکتاوادی,adjective
ਗਤੀਵਾਦ,گتیواد,"noun, masculine"
ਫਾਲ਼ ਲਾਉਣੀ,پھال لاؤنی,conjunct verb
ਵਹਿਮ,وہم,"noun, masculine"
ਖੁਰਾਕ,خوراک,"noun, feminine"
ਸਿਆ,,
ਅਫਵਾਹ,,
ਹੜ੍ਹ ਮਾਰ,ہڑھ مار,"noun, feminine"
