gurmukhi,shahmukhi,part_of_speech
ਦੁਡ਼ਾਉਣਾ,,
ਸ਼ਿਰੋਮਣੀ,شرومنی,adjective
ਥਪੇੜਾ,تھپیڑا,"noun, masculine"
ਸੁਖਾਂਤ,سُکھانت,"noun, masculine"
ਬਿਰਹਾ,بِرہا,"noun, masculine"
ਮੋਰਪੰਖ,مورپنکھ,"noun, masculine"
ਸਾਢੇ,ساڈھے,prefix
ਚੁਤਾਲ੍ਹੀਆਂ,چُتالھیاں,adjective
ਵਯਾਧਣ,,
ਫਰਵਾਂਹ,پھروانھ,"noun, masculine"
ਫਰਮਾਂ,فرماں,"noun, masculine"
ਚੀਡ਼ੀ,,
ਕਚੌਲ,,
ਗਿਰੂ,,
ਬਿਖਿਆ,بِکھیا,"noun, feminine"
ਚੱਵੀ,,
ਤੱਲਹ,,
ਬੁਝਣਾ,بُجھنا,"verb, intransitive"
ਨਮਾਇਸ਼,نمائش,"noun, feminine"
ਲਘੂ,لگھو,adjective
ਬਠਾਉਣਾ,بٹھاؤنا,"verb, transitive"
ਗੱਠਣੀ,,
ਇੱਨ੍ਹਣ,,
ਸੇਰ,سیر,"noun, masculine"
ਗਤਕੇਬਾਜ਼ੀ,گتکیبازی,"noun, feminine"
ਹੰਗਤਾ,ہنگتا,"noun, feminine"
ਗੋਂਦਣੀ,,
ਚਿਫਾਲਾ,,
ਭੋਗ ਬਿਲਾਸ,بھوگ بِلاس,"noun, masculine"
ਧਾਪ,,
ਹਾਸ਼ੀਆ ਲਾਉਣਾ,حاشیہ لاؤنا,conjunct verb
ਸੰਖਿਆ ਕ੍ਰਮ,سنکھیا کرم,"noun, masculine"
ਚੋੱਸੀ,,
ਕੰਗੁਣੀ,,
ਦ੍ਰਿਸ਼ਟੀ,درِشٹی,"noun, feminine"
ਭਰੋਸੇਯੋਗਤਾ,بھروسییوگتا,"noun, feminine"
ਉਪਾਰਜਿਤ,اُپارجِت,adjective
ਸਮਾਕ,,
ਸੰਕੋਚਣ,,
ਦੁੱਨੀਂ,,
ਡਹਿਜਣ,,
ਠੱਪਣਾ,ٹھپّنا,"verb, transitive"
ਪੂਰਨ,پُورن,"noun, masculine"
ਬਟਪਾਡ਼ੀ,,
ਪਚਾਦ,,
ਸੁਆਂਧਾ,سُوآندھا,"noun, masculine"
ਬ੍ਰਹਿਮੰਡੀ,برہِمنڈی,adjective
ਦੰਦਾਸਾ,دنداسا,"noun, masculine"
ਗੱਦ ਵਿਚ ਲੈਣਾ,گدّ وِچ لَینا,phrase
ਤੁਰੰਗ,تُرنگ,"noun, masculine"
ਨਖੇੜ,نکھیڑ,"noun, masculine"
ਮੌਲਿਕ,مولِک,adjective
ਟੁੰਢਣਾ,,
ਬਹਤ੍ਰੱ,,
ਹਮਸ਼ੀਰਾ,ہم شیرہ,"noun, feminine"
ਪ੍ਰਭਤਾ,پرَبھتا,"noun, feminine"
ਸਰਪਤ,,
ਡੰਨ ਲਾਉਣਾ,ڈنّ لاؤنا,phrase
ਇੰਤਜ਼ਾਮ ਕਰਨਾ,اِنتظام کرنا,conjunct verb
ਲੋਹਾ ਲੈਣਾ,لوہا لَینا,phrase
ਗੁੰਜਾਰ,گُنجار,"noun, feminine"
ਚੀਰ ਪਾਉਣਾ,چیر پاؤنا,conjunct verb
ਜਨਮ ਤਿਥੀ,جنم تِتھی,"noun, feminine"
ਤਵਾਉਣਾ,,
ਵਾਵਾਸੀ,,
ਪਾਤਸਾਹੀ,,
ਮੋਟਰ ਬੋਟ,موٹر بوٹ,"noun, feminine"
ਬਿਆਸ,بِیاس,"noun, masculine"
ਭੱਦਾ,بھدّا,"adjective, masculine"
ਸੇਤਜ,سیتج,"noun, masculine"
ਰੋਜ਼,روز,"noun, masculine"
ਕਕੌਡ਼ਾ,,
ਲਟਾ ਪਟਾ,لٹا پٹا,"noun, masculine"
ਕਾਹਲ਼ ਦਾ,کاہل دا,"adjective, masculine"
ਕਾਜੂ,کاجو,"noun, masculine"
ਤਪਸ,,
ਨਵੀਨਤਾ,نوینتا,"noun, feminine"
ਬਿਸੁਆਦ,,
ਛਲਛਲਾਉਣਾ,چھلچھلاؤنا,"verb, transitive"
ਛੀਟ,چھیٹ,"noun, feminine"
ਮੇਮਨਾ,,
ਚਾਲ ਚੱਲਣੀ,چال چلّنی,conjunct verb
ਦਵਾਤ,دوات,"noun, feminine"
ਦਿਸਾਵਰ,دِساور,"noun masculine, dialectical usage"
ਸਾਂਉਕ,,
ਭੁਗਤਾਣ ਬਾਕੀ,بھُگتان باقی,"noun, feminine"
ਕੂੰਦ,,
ਕਾਨੂਨ,,
ਸ਼ਕਤੀਹੀਣਤਾ,شکتی ہینتا,"noun, feminine"
ਸਹਾਇਕ,سہائک,"noun, masculine & adjective"
ਡੌਂਡੀ ਕਰਨੀ,ڈونڈی کرنی,phrase
ਫਟ,,
ਲੋਲੀ,,
ਦੱਥੀ,دتھّی,"noun, feminine"
ਰੁੱਗ,رُگّ,"noun, masculine"
ਖਿੰਜਣਾ,,
ਕਿਨ੍ਹਾਂ,,
ਲਖਨਵੀ,لکھنوی,adjective
ਤਾਮਰ ਪੱਤਰ,تامر پتّر,"noun, masculine"
ਪਸਾਬ,,
ਤਾਰਾ ਚਿੰਨ੍ਹ,تارہ چِنہ,"noun, masculine"
ਪਲੋਠਾ,,
ਟੂਣਾ,ٹونا,"noun, masculine"
ਗੜਬੜ ਕਰਨੀ,گڑبڑ کرنی,conjunct verb
ਵੇਚ,ویچ,verb
ਵਡ਼ੇਵਾਂ,,
ਪਹਿਨਾਵਾ,,
ਵੇਡ਼,,
ਰਾਸ਼ਟਰੀਅਤਾ,راشٹریئتا,"noun, feminine"
ਕੋਹਾਡ਼ੀ,,
ਚੁਭੋਣਾ,چُبھونا,"verb, transitive"
ਲਟਪਟਾ,,
ਓਠ,,
ਅਨੀਂਦਾ,انیندا,"noun, masculine"
ਖੋਲੀ,,
ਗਣਨਾ,گننا,"noun, feminine"
ਬੇਹਦ,بے حد,adjective & adverb
ਮੂਡ਼੍ਹ,,
ਚਪਡ਼ਾਸੀ,,
ਡਕਾਰ,ڈکار,"noun, masculine"
ਅਲਪ ਕਾਲੀ,الپ کالی,adjective
ਹੁੜਕ ਲੱਗਣੀ,ہُڑک لگّنی,conjunct verb
ਲਿਟਵਾਉਣਾ,لِٹواؤنا,"verb, transitive"
ਸਾਮੀ,سامی,adjective
ਫੂਕ ਮਾਰਨੀ,پُھوک مارنی,conjunct verb
ਦਰਗੁਜਰ,درگُزر,"noun, masculine"
ਦਰੇਗ,دریگ,"noun, masculine"
ਸੰਗੋ ਸੰਗ,,
ਦਿਸਟਾਂਤ,,
ਬਖਸ਼ਣਹਾਰ,بخشنہار,adjective
ਜਮਾਦੀਉਲ ਆਖਰ ਸਾਨੀ,,
ਖੋ,کھو,"noun, feminine"
ਹਰੀਜਨ,ہریجن,"noun, masculine"
ਗੂਣ,گون,"noun feminine, dialectical usage"
ਦੂਰ ਦ੍ਰਿਸ਼ਟੀ,دُور درِشٹی,"noun, feminine"
ਵੈਣਾ,وَینا,"verb intransitive, dialectical usage"
ਢਲਕਣਾ,ڈھلکنا,"verb, intransitive"
ਕਰਬਤ,,
ਮਗਨ,مگن,adjective
ਰੰਗ ਰਾਤਾ,رنگ راتا,adjective
ਗੱਦੀ,گدّی,"noun, feminine"
ਖਾਣਾ ਪਕਾਉਣਾ,کھانا پکاؤنا,conjunct verb
ਅੰਗਰਖਾ,انگرکھا,"noun, masculine"
ਠਪ ਠਪ,ٹھپ ٹھپ,"noun, feminine"
ਆਗਮ,آگم,"noun, masculine"
ਖੂਹਣੀਆਂ ਖਪਣੀਆਂ,کھوہنیاں کھپنیاں,phrase
ਸੌਮਫਯਾ,,
ਬੈਂਗਣੀ,بَینگنی,adjective
ਖਾਨਿਓਂ ਜਾਣੀ,خانیوں جانی,phrase
ਅਠਾਂਹ,اٹھاں,"adverb, dialectical usage"
ਸੰਜੀਵਨੀ,سنجیونی,"noun, feminine"
ਭੰਡੂਆ,,
ਭੂੰਡਿਨ,,
ਚਮਿਆਰ,چمیار,"noun masculine, dialectical usage"
ਪਾੱਮਾ,,
ਹਰ ਵਾਰੀ,ہر واری,adverb
ਪਰਪੱਕ,پرپکّ,adjective
ਛਛਾੱ,,
ਕਾਟ,کاٹ,"noun, feminine"
ਢਿੱਲ ਮਠ ਕਰਨੀ,ڈِھلّ مٹھ کرنی,phrase
ਸਹਿਜ ਅਨੰਦ,سہج انند,"noun, masculine"
ਕੋੱਸਾ,,
ਅਚਪਲ,,
ਛੈ,,
ਡੱਟਾ,ڈٹّا,"noun, masculine"
ਮੁੰਦਡ਼ਾ,,
ਨਿਸ਼ਚੇਹੀਨ,نِشچیہین,adjective
ਫੌੜ੍ਹਾ,پھوڑھا,"noun, masculine"
ਤਫਰੀਕ ਕਰਨਾ,تفریق کرنا,conjunct verb
ਪਿਛਕੜ,پِچھکڑ,"noun, masculine"
ਕੰਮ ਕੱਢਣਾ,کّم کڈّھنا,phrase
ਸੁਨਿਆਰ,,
ਗੰਡੀ,,
ਸੀਸ ਕਟਾਉਣਾ,سیس کٹاؤنا,phrase
ਝਾਤ ਪਾਉਣੀ,جھات پاؤنی,phrase
ਮਸੂਲ,مصول,"noun, masculine"
ਪਰਸੰਗ,پرسنگ,"noun, feminine"
ਛਿਲਤ ਚੁੱਭਣੀ,چھِلت چُبھّنی,conjunct verb
ਸ਼ਿਕਵਾ ਸ਼ਿਕਾਇਤ,شکوہ شکایت,conjunct verb
ਖੁਰਾ,کھُرا,"noun, masculine"
ਲਿਦਣਾ,,
ਪੰਛੀ,پنچھی,"noun, masculine"
ਟਿੱਪੀ,ٹِپّی,"noun, feminine"
ਇਕੱਤਰਤਾ,اِکتّرتا,"noun, feminine"
ਸਮਬਰ,,
ਮਨੌਤ,منوت,"noun, feminine"
ਸੇਉਕਣੀ,,
ਜੁਨਾ,,
ਪਨਿਹਾਰ,,
ਮੁਰਗਾਈ,,
ਔਟਲਜਾਣਾ,,
ਪਲੇਬਣੀ,,
ਗਰਾਰੀਦਾਰ,گراریدار,adjective
ਨਿਗਮਨਾਤਮਿਕ,نِگمناتمِک,adjective
ਅਵਰੋਧ ਕਰਨਾ,اوَرودھ کرنا,"verb, transitive"
ਕਚਰੋਲ,,
ਮਸੌਹਰਾ,,
ਕਰੋਡ਼ਾ,,
ਲਸਰੀਂ,,
ਤੋਪਾ ਭਰਨਾ,توپا بھرنا,phrase
ਧਾਨਹਾਂ,,
ਪਰਗਟਾਉਣਾ,پرگٹاؤنا,"verb, transitive"
ਸਰਨਾਈ,,
ਤਵਾਜ਼ਨ,توازن,"noun, masculine"
ਸਾਕੜ,ساکڑ,"noun, masculine"
ਰੀਂਘਾ,,
ਮਲਮਾਂ,,
ਡੋਜ਼,ڈوز,"noun, masculine"
ਭਰਵਾ,بھروا,verb
ਜੇਲ,,
ਸਾਟਨ,ساٹن,"noun, feminine"
ਖਾਨਜਾਦਾ,خان زادہ,"noun, masculine"
ਝੁਣ,,
ਘਰਡ਼ਨਾ,,
ਹਵਾਲਦਾਰਨੀ,حوالدارنی,"noun, feminine"
ਬੇਇਤਬਾਰਾ,بے اعتبارا,"adjective, masculine"
ਅਮਿਟ,امِٹ,"adjective /adjective, masculine"
ਡਾਖਡ਼ਾ,,
ਹਿਰਖਣ,,
ਪੇਸ਼ ਆਉਣਾ,پیش آؤنا,conjunct verb
ਖੁਰੁੰਡ,,
ਮੁਕੱਦਮਾ,مقدّمہ,"noun, masculine"
ਘਮਣਾ,,
ਮੁਨਸਿਫੀ,,
ਉਨਤੋਦਰ,اُنتودر,adjective
ਕਵਿਤਾਈ,,
ਉਪਜ,اُپج,"noun, feminine"
ਪੈਰ ਉੱਖੜਨੇ,پَیر اُکھّڑنے,phrase
ਇਨਸਾਣ,,
ਮੇਂਡਕ,,
ਭਰੋਸੇਹੀਨ,بھروسےہین,adjective
ਚੋੱਟਾ,,
ਲੱਲ੍ਹ,للھّ,"noun, feminine"
ਕਟਾਰ੍ਹ,کٹارھ,"noun, masculine"
ਰੋਕਡ਼ੀਆ,,
ਥਲਵਾਂ,تھلواں,"adjective, masculine"
ਸਹਿਗਾਨ,سہِگان,"noun, masculine"
ਅਚਾਣਚੱਕ,,
ਕਥਾਕਾਰ,کتھاکار,"noun, masculine"
ਰੰਦ,رند,verb
ਓਕੁਡ਼ੂ,,
ਰਾਜ ਪਾਟ,راج پاٹ,"noun, masculine"
ਗੁਤੀ,,
ਅਛਾਡ਼,,
ਕਪਟੀ,کپٹی,adjective
ਛਿਡ਼,,
ਦੁੰਬਾ,دُنبا,"noun, masculine"
ਹੈਣ,,
ਅਖਾਧ,اکھادھ,adjective
ਮਾਰੂ ਖੇਤੀ,مارُو کھیتی,"noun, feminine"
ਜੇਬ ਕੱਟਣੀ,جیب کٹّنی,conjunct verb
ਮੀਂਹ ਕਣੀ,مینھ کنی,"noun, feminine"
ਚੌਕਾਂ,,
ਪੁਸਤਕਾਲਿਆ,پُستکالیا,"noun, masculine"
ਲਬਡ਼,,
ਗੰਦਕੀ,,
ਕਿੱਕਡ਼ਸਿੰਗੀ,,
ਲੁਹੁਲ,,
ਹਰਾਮਬਡ਼,,
ਫਿਸਲਾਉਣਾ,,
ਰੰਡਡ਼,,
ਕਸੀਦਾ ਕੱਢਣਾ,قصیدہ کڈّھنا,conjunct verb
ਸੁਨਿਆਰੀ,,
ਅਮੂੱਲ,,
ਫੁਦਕੀ,,
ਵੱਸ,وسّ,verb
ਮੁਆਲ,,
ਰਾਸ,راس,"noun, feminine"
ਅੱਗੇ ਪਾਉਣਾ,اگّے پاؤنا,phrase
ਬੈਦ,,
ਜਿਊਂਦਾ ਜਾਗਦਾ,جِیوندا جاگدا,"adjective, masculine"
ਕੂਕ ਪੁਕਾਰ,کوک پُکار,"noun, feminine"
ਮੁਸੰਮਾਤ,مُسمّات,prefix
ਸ਼ਹਿਤ,,
ਰੰਗਾ ਰੰਗ,رنگا رنگ,adjective
ਵਾਹ,واہ,"noun, feminine"
ਵਗ ਜਾਣਾ,وگ جانا,conjunct verb
ਲਾਮ੍ਹ,لامھ,"noun, feminine"
ਝਡ਼ਬੇਰੀ,,
ਮੁਤਾਡ਼ਣਾ,,
ਦਿਲਗੀਰ,دِلگیر,adjective
ਕਦਲੀ,,
ਹੁੰਡਲ,,
ਲਟਿਆਉਣਾ,,
ਗਰਦਾਵਰੀ,گرداوری,"noun, feminine"
ਨੌਲ,,
ਵਾਇਦਾ ਕਰਨਾ,وعدہ کرنا,conjunct verb
ਬਨੇਉਜਵਾਈ,,
ਟੁਰਕਣਾ,,
ਗ੍ਰਹਿ ਪੰਥ,گریہہ پنتھ,"noun, masculine"
ਚਤਾਰਨਾ,,
ਭਰ ਸਿਆਲ,بھر سِیال,"noun, masculine"
ਏਚ ਪੇਚ,,
ਜਿਧਰ,,
ਕਮਬੇਲਾ,,
ਦਲਾਲਗੀ,,
ਸਿਕਵਾਉਣਾ,سِکواؤنا,"verb, transitive"
ਚਤਰਤਾ,چترتا,"noun, feminine"
ਖੁਸ,,
ਜਨਾਹਣ,,
ਜਵੱਤੀ,,
ਆਮੰਤਰਨ ਦੇਣਾ,آمنترن دینا,conjunct verb
ਸੀਮਾ,سیما,"noun, feminine"
ਵਰਕਸ਼ਾਪ,ورکشاپ,"noun, feminine"
ਖਰਿਆਈ,,
ਹਰਫ਼ੀ,حرفی,adjective
ਬਸੇਰਾ ਕਰਨਾ,بسیرا کرنا,conjunct verb
ਪੜਛਾ,پڑچھا,"noun, masculine"
ਪਾਟ,پاٹ,"noun, masculine"
ਵਖਾਣਨਾ,وکھاننا,"verb, intransitive as well as transitive"
ਵਯਾਧੀ,,
ਪੱਨ੍ਹੀ,,
ਕਹਿਣੀ,کہنی,"noun, feminine"
ਰਾਹ ਸਿਰ,راہ سِر,adverb
ਪੇਂਦਾ,پیندا,"noun, masculine"
ਪੈਸੇ ਵਾਲ਼ਾ,پیسے والا,adjective
ਸਕੀ,,
ਅੱਗ ਲੱਗਣੀ,اگّ لگّنی,conjunct verb
ਪੇਟੀ,پیٹی,"noun, feminine"
ਤਰਿਕੂਲ,ترِکول,"noun masculine, dialectical usage"
ਹਿਰਨ,ہِرن,"noun, masculine"
ਸਿਰ ਚਕਰਾਉਣਾ,سِر چکراؤنا,phrase
ਰੋਲ਼ਨਾ,رولنا,"verb, transitive"
ਅੰਬੋਹ,,
ਲੇਲ੍ਹੜੀ,لیلھڑی,"noun, feminine"
ਰਜੋਗੁਣ,رجوگُن,"noun, masculine"
ਵੱਸ ਚੱਲਣਾ,وسّ چلّنا,phrase
ਤਲਵਾਰ ਕੱਢ ਲੈਣੀ,تلوار کڈّھ لَینی,phrase
ਫਲੀ,,
ਨਾਟ ਕਲਾ,ناٹ کلا,"noun, feminine"
ਉੱਠਣਾ,اُٹھّنا,"verb, intransitive"
ਕੁਲਿੰਜਣ,,
ਕਾਇਮ ਮੁਕਾਮ,قائم مقام,adjective
ਜਜ਼ਬ ਕਰਨਾ,جذب کرنا,conjunct verb
ਸੋਈਓ,سوئیو,pronoun
ਕਵਾੜ,کواڑ,"noun, masculine"
ਲਾਗੂ,لاگوُ,adjective
ਪਗਡ਼ਣਾ,,
ਛੈਣਾ,چھَینا,"noun, masculine"
ਅਗਵਾ ਕਰਨਾ,اغوا کرنا,conjunct verb
ਮਨੋ ਵਿਗਿਆਨੀ,منو وِگیانی,"noun, masculine"
ਕੁਸ਼ਤੀ ਕਰਨੀ,کُشتی کرنی,conjunct verb
ਮੁਤਾੜ,مُتاڑ,"noun, masculine"
ਰਾਹਮਾਰ,راہمار,"noun, masculine"
ਸ਼੍ਰਮ ਪ੍ਰਧਾਨ,شرم پردھان,adjective
ਸਹਿਨਸ਼ੀਲਤਾ,سہن شیلتا,"noun, feminine"
ਸ਼ਬਦ ਉਤਪਤੀ,شبد اتپتی,"noun, feminine"
ਸ਼ਸਤਰੀਕਰਨ,شستریکرن,"noun, masculine"
ਠੇਠਡ਼,,
ਪੈਮਾਇਸ਼,پَیمائش,"noun, feminine"
ਫੁੱਲ ਤੇ ਆਉਣਾ,پُھلّ تے آؤنا,phrase
ਖੂਣਾ,,
ਸੁੱਟ,سُٹّ,"noun feminine, dialectical usage"
ਸਾਂਤ,,
ਕੁੱਛੜ,کُچھّڑ,"noun, feminine"
ਡਾਬ,,
ਦੁਰਉਪਯੋਗ,دُراُپیوگ,"noun, masculine"
ਚੁਮੁਖਾ,,
ਕਚਲਹੂ,کچ لہو,"noun, masculine"
ਤੀਰ ਹੋ ਜਾਣਾ,تیر ہو جانا,phrase
ਫਿਰੌਤੀ,پھِروتی,"noun, feminine"
ਝਡ਼ਫਾਊ,,
ਅਨੱ,,
ਸ਼ਬਦ ਅਡੰਬਰ,شبد اڈنبر,"noun, masculine"
ਚਰਮ,چرم,"noun, masculine"
ਆਸ ਪਾਸ,آس پاس,"noun, masculine"
ਛਪਣਛੋਤ,,
ਧੋਹਾ,,
ਖੰਖਾਰਣਾ,,
ਕਰਿਤੱਗਤਾ,کرِتگّتا,"noun, feminine"
ਉਜੱਡ,اُجڈّ,adjective
ਪਹਾੜੀਆ,پہاڑِیا,"noun, masculine"
ਬਲਗਣ,,
ਅਰਾਮਪਰਸਤੀ,ارام پرستی,"noun, feminine"
ਪਰਸਾਉਣਾ,,
ਛਾਬੜੀ,چھابڑی,"noun, feminine"
ਨਿਰਮੂਲ,نِرمول,adjective
ਪਰਾਂਦੀ,پراندی,"noun, masculine/noun, feminine"
ਵਾਣ,وان,"noun, masculine"
ਮਛਰੇਵਾਂ,مچھریواں,"noun, masculine"
ਉੱਖਲ,,
ਕਿੱਲ ਕੰਡਾ,کِلّ کنڈا,"noun, masculine"
ਨਿਸਾਲ਼ਨਾ,نِسالنا,"verb, intransitive"
ਬਿੰਦੀਕਾਰੀ,بِندی کاری,"noun, feminine"
ਸ਼ੋਖੀ,,
ਪੇਟਾ,پیٹا,"noun, masculine"
ਝੜਵਾ,جھڑوا,verb
ਕੁਹਾਡ਼ੀ,,
ਵਾਗ,واگ,"noun, feminine"
ਗਰਡ਼ਾ,,
ਟੋਟ ਆਉਣੀ,ٹوٹ آؤنی,conjunct verb
ਬਾਰ ਬਰਦਾਰ,بار بردار,adjective
ਭਾਵਾਂ,,
ਖਰਿਸਤਣ,,
ਸਦਕੇ ਜਾਵਾਂ,صدقے جاواں,interjection
ਗਾਣ,,
ਭੂ ਕੇਂਦਰੀ,بُھو کیندری,adjective
ਵਕਾਲਤਨਾਮਾ,وکالت نامہ,"noun, masculine"
ਬਘਾਰ,بگھار,"noun, masculine"
ਲਿਪਾਈ,لِپائی,"noun, feminine"
ਅਧਿਆਤਮਿਕ,ادھیاتمِک,adjective
ਮਨਾਖਾ,مناکھا,"adjective, masculine"
ਨੌਵਾਂ,,
ਮਲੀ,,
ਮੋਛਾ ਪਾਉਣਾ,موچھا پاؤنا,conjunct verb
ਨਹੁੰ,نہُوں,"noun, masculine"
ਦਰਜ਼,درج,"noun, feminine"
ਤਿਲ਼ ਕੁੱਟ,تِل کُٹّ,"noun, masculine"
ਮੂਡ਼ੀ,,
ਲੀ,,
ਮਖੌਲ ਉਡਾਉਣਾ,مخول اُڈاؤنا,conjunct verb
ਵਿਅਰਥ ਹੋਣਾ,وِارتھ ہونا,conjunct verb
ਕਸਕੁਟ,کسکُٹ,"noun, masculine"
ਛਿਲਤ ਵੱਜਣੀ,چھِلت وجّنی,conjunct verb
ਮਰਸ,,
ਸੜ ਮਰਨਾ,سڑ مرنا,conjunct verb
ਜਿਹਾ ਪਿਓ ਤਿਹਾ ਪੁੱਤ,جیہا پیو تِہا پُتّ,phrase
ਰਿੜਕਾਈ,رِڑکائی,"noun, feminine"
ਤਿਹਾਉਲੀ,,
ਝੰਡੀ ਦੇਣੀ,جھنڈی دینی,conjunct verb
ਸਿਮਰਣਾ,,
ਠਗਣੀ,,
ਲੋਹਟ ਬੇਲਣਾ,,
ਚਮਕਾਰਾ,چمکارا,"noun, masculine"
ਰਫ਼ਿਊਜੀ,رفِیوجی,"noun, masculine"
ਬਗਿਹਾਡ਼ੀ,,
ਸੰਚਾ,,
ਜੋਰ ਸ਼ੋਰ,زور شور,"noun, masculine"
ਮੁਕਾਉ,,
ਸਿੰਘ ਸਭੀਆ,سنگھ سبھیا,adjective
ਫੁਰਨਾ,پھُرنا,"noun, masculine"
ਰੰਡਾ,رنڈا,"noun, masculine"
ਛੱਤਣ,چھتّن,"noun, feminine"
ਘਰੇ,گھرے,adverb
ਭਬਕੀ,,
ਅੰਦਾਜ਼ਾ,اندازہ,"noun, masculine"
ਸੁਹੁਰਤ,,
ਚਾਲੂ ਖਾਤਾ,چالو کھاتا,"noun, masculine"
ਗਿਆਰਹ,,
ਡੋਲਣਾ,ڈولنا,"verb, intransitive"
ਪੇਚਰਿੱਕੀ,,
ਤਰੱਨਾ,,
ਅਪਰਿਮਿਤ,اپرِمِت,adjective
ਰਾਤੀ,,
ਡਿਲ੍ਹ,,
ਟਿਕ ਟਿਕਾ,ٹِک ٹِکا,"noun, masculine"
ਪੋਹਲੀ,,
ਸਰਟੀਫਿਕੇਟ,سرٹیفِکیٹ,"noun, masculine"
ਸਮੁੰਦਰੀ ਅੱਡਾ,سمندری اڈّا,"noun, masculine"
ਦ੍ਰਵੀਕਰਨ,دروی کرن,"noun, masculine"
ਦਾਹਵਤੀ ਚਿੱਠੀ,دعوتی چٹّھی,"noun, feminine"
ਪਲਾਣਾ,پلانا,"noun, masculine"
ਮਸ਼ਰੂਤ,مشروط,adjective
ਫਾਡ਼ਣਾ,,
ਮੁਰੰਮਤੀ,مُرمّتی,"noun, feminine"
ਚਲਾਣਾ,چلانا,"verb, transitive"
ਕੋਸੋਹਣਾ,,
ਰਜਾ,,
ਖੇਲ ਖਤਮ,کھیل ختم,interjection
ਲੋਕ ਨਾਚ,لوک ناچ,"noun, masculine"
ਕਬਤਾ,,
ਕੌਂਚ,,
ਵੇਰਡ਼ੀ,,
ਤਾਲਬ,طالب,adjective
ਚਾਉ ਮਲ੍ਹਾਰ,چاؤ ملھار,"noun, masculine"
ਲਲਾਰਣ,,
ਸੁੰਘ,سُنگھ,verb
ਸਹੁਰੀ,,
ਪੋਲੀਓ,پولیو,"noun, masculine"
ਖੋਜ ਪੱਤਰ,کھوج پتّر,"noun, masculine"
ਛੱਤੀ,چھتّی,"verb & adjective, feminine"
ਰੋਜੀ,,
ਯਤਨ,یَتن,"noun, masculine"
ਡੌਲਣਾ,,
ਤਵੀਤੜੀ,تویتڑی,"noun, feminine"
ਚਣਾ,چنا,"noun, masculine"
ਟਾਂਗਰੀ,ٹانگری,"noun, feminine"
ਖਲੀਜ,خلیج,"noun, feminine"
ਸਿੱਤੂ,,
ਰੇਚਕ,ریچک,adjective
ਜਿਆਰਤ,زیارت,"noun, feminine"
ਬੱਲੀ,بلّی,"noun, feminine"
ਬੁਹੁਣੀ,,
ਤੜਕਵਾਈ,تڑکوائی,"noun, feminine"
ਇੱਕ ਵੱਢੋਂ,اِک وڈّھوں,adverb
"ਗੰਨਾ ਦੇਣਾ, ਭੇਲੀ ਨਾ ਦੇਣੀ",گنّا دینا، بھیلی نہ دینی,phrase
ਧੁਲ਼ਾਈ,دھُلائی,"noun, feminine"
ਸਾਗਰ ਵਿਗਿਆਨ,ساگر وِگیان,"noun, masculine"
ਸਾਮੰਤਸ਼ਾਹੀ,سامنتشاہی,"noun, feminine"
ਸਮਾਜੀਕਰਿਤ,سماجیکرِت,adjective
ਮੁਮੱਨੀ,,
ਉਪਕੁਲਪਤੀ,اُپکُلپتی,"noun, masculine"
ਢਠੌਲ,ڈھٹھول,"noun, feminine"
ਦਰੀਜਣਾ,,
ਚਾਰਾ,چارہ,"noun, masculine"
ਚੋਪੜੀਆਂ ਗੱਲਾਂ,چوپڑیاں گلاّں,"noun feminine, plural"
ਜਖੀਰੇਬਾਜੀ,ذخیرے بازی,"noun, feminine"
ਨਿਰਮਲਾ,نِرملا,"noun, masculine"
ਚਰੋਕਾ,چروکا,adverb
ਗੁਆਹ,گُوآہ,"noun masculine, colloquial"
ਚਿੰਤਾਤੁਰ,چِنتاتُر,adjective
ਲਥਡ਼ ਪਥਡ਼,,
ਬਾਦ,بعد,"noun, feminine"
ਗੈਤ੍ਰੀ,,
ਸਾਧੁ,,
ਭਰੌਨ,,
ਬੁਡੱਨਾ,,
ਨਿਰੇਲਾ,,
ਅਕੜਾਉਣਾ,اکڑاؤنا,"verb, transitive"
ਕੋਡ਼੍ਹੀ,,
ਪੁੱਤਾ ਧੀਆ,,
ਝਿੰਗਾਰਨ,,
ਡੀਜ਼ਲ,ڈیزل,"noun, masculine"
ਮਿਸਾਲ,مِثال,"noun, feminine"
ਅਨਮੇਲ,انمیل,"noun, masculine"
ਧਾਕ ਪੈਣੀ,دھاک پَینی,phrase
ਬਕਬਕਾਟ,,
ਇਹਸਾਨਣ,,
ਪਿਆਦਾ,پیادہ,"noun, masculine"
ਲੋਹੜਾ,لوہڑا,"noun, masculine"
ਤਿਲਾਠੀ,,
ਥਡਨ,,
ਲੂਸਣੀਆਂ ਲੈਣੀਆਂ,لوسنیاں لَینِیاں,phrase
ਤਿਲਕਣਾ,تِلکنا,"verb, intransitive"
ਸੀਂਦਕੀ,,
ਕਦੋਕਣਾ,,
ਭੋਰ੍ਹਾ,,
ਡਗ,ڈگ,adjective
ਮਦਰਾ,مدرا,"noun, feminine"
ਅੰਮਰਿਤ ਵੇਲ਼ਾ,امّرِت ویلا,"noun, masculine"
ਪਤਰਿਕਾ,پترِکا,"noun, feminine"
ਪੈਰ ਟਿੱਪਣੀ,پَیر ٹِپّنی,"noun, feminine"
